FeatureID,12C-1000fr1,12C-1000fr10,12C-1000fr11,12C-1000fr12,12C-1000fr2,12C-1000fr3,12C-1000fr4,12C-1000fr5,12C-1000fr6,12C-1000fr7,12C-1000fr8,12C-1000fr9,12C-1000frS,12C-10070fr1,12C-10070fr10,12C-10070fr11,12C-10070fr12,12C-10070fr2,12C-10070fr3,12C-10070fr4,12C-10070fr5,12C-10070fr6,12C-10070fr7,12C-10070fr8,12C-10070fr9,12C-10070frS,12C-200fr1,12C-200fr10,12C-200fr11,12C-200fr12,12C-200fr2,12C-200fr3,12C-200fr4,12C-200fr5,12C-200fr6,12C-200fr7,12C-200fr8,12C-200fr9,12C-200frS,12C-2070fr1,12C-2070fr10,12C-2070fr11,12C-2070fr12,12C-2070fr2,12C-2070fr3,12C-2070fr4,12C-2070fr5,12C-2070fr6,12C-2070fr7,12C-2070fr8,12C-2070fr9,12C-2070frS,13C-1000fr1,13C-1000fr10,13C-1000fr11,13C-1000fr12,13C-1000fr2,13C-1000fr3,13C-1000fr4,13C-1000fr5,13C-1000fr6,13C-1000fr7,13C-1000fr8,13C-1000fr9,13C-1000frS,13C-10070fr1,13C-10070fr10,13C-10070fr11,13C-10070fr12,13C-10070fr2,13C-10070fr3,13C-10070fr4,13C-10070fr5,13C-10070fr6,13C-10070fr7,13C-10070fr8,13C-10070fr9,13C-10070frS,13C-200fr1,13C-200fr10,13C-200fr11,13C-200fr12,13C-200fr2,13C-200fr3,13C-200fr4,13C-200fr5,13C-200fr6,13C-200fr7,13C-200fr8,13C-200fr9,13C-200frS,13C-2070fr1,13C-2070fr10,13C-2070fr11,13C-2070fr12,13C-2070fr2,13C-2070fr3,13C-2070fr5,13C-2070fr6,13C-2070fr7,13C-2070fr8,13C-2070fr9,13C-2070frS,Una-1000fr1,Una-1000fr10,Una-1000fr11,Una-1000fr12,Una-1000fr2,Una-1000fr3,Una-1000fr4,Una-1000fr5,Una-1000fr6,Una-1000fr7,Una-1000fr8,Una-1000fr9,Una-1000frS,Una-10070fr1,Una-10070fr10,Una-10070fr11,Una-10070fr12,Una-10070fr2,Una-10070fr3,Una-10070fr4,Una-10070fr5,Una-10070fr6,Una-10070fr7,Una-10070fr8,Una-10070fr9,Una-10070frS,Una-200fr1,Una-200fr10,Una-200fr11,Una-200fr12,Una-200fr2,Una-200fr3,Una-200fr4,Una-200fr5,Una-200fr6,Una-200fr7,Una-200fr8,Una-200fr9,Una-200frS,Una-2070fr1,Una-2070fr10,Una-2070fr11,Una-2070fr12,Una-2070fr2,Una-2070fr3,Una-2070fr4,Una-2070fr5,Una-2070fr6,Una-2070fr7,Una-2070fr8,Una-2070fr9,Una-2070frS,Kingdom,Phylum,Class,Order,Family,Genus,Species
3e45cd957788b969a55aab1022542479,43,5970,5718,5873,40,40,86,261,666,1356,981,1771,5644,0,816,1289,690,33,17,33,0,37,25,214,342,1093,0,278,261,267,0,31,126,191,181,266,255,308,344,43,6013,4343,4870,217,305,0,899,220,227,222,3706,4627,0,1270,590,335,0,10,43,167,285,51,209,1098,580,29,5365,2163,0,16,77,360,1576,3205,4143,7038,8335,4889,0,26,179,124,29,40,49,144,119,94,128,209,185,47,3714,3170,4673,366,181,576,0,885,1965,5138,3976,0,276,1334,1290,0,53,0,62,120,87,28,76,2147,0,2595,2199,3128,18,60,31,70,108,901,1645,2068,4105,0,17,0,34,34,0,0,0,45,37,44,85,65,13,5858,4140,2607,37,177,103,312,724,837,2209,4163,2962,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
b917effe0e3a87c2832723d16773550a,32,1369,1102,707,0,42,53,216,422,356,262,491,2536,0,3225,5730,5085,59,0,190,0,663,80,1129,2040,18743,35,0,163,302,0,161,91,0,138,232,187,150,348,0,137,118,267,0,0,0,0,0,0,0,0,256,77,36410,30090,7716,125,253,794,2486,4597,730,4736,15210,14134,80,165,259,0,54,142,194,1007,2227,1800,1509,712,1114,0,0,204,349,0,0,0,0,83,83,172,135,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,142,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum
36aff623036995b22007d37cb26c2755,0,4155,4192,3003,85,99,62,256,362,1021,816,1472,3165,0,1012,1522,719,0,0,0,0,0,62,316,360,1119,0,1081,991,1117,168,650,478,941,1002,1413,1459,1612,1327,42,5529,4623,4028,316,401,0,1658,289,396,272,4189,5169,0,303,111,102,0,0,40,0,38,0,51,261,128,0,3223,1203,0,70,92,467,1969,5380,7737,12230,6945,3594,0,43,375,315,77,43,291,224,130,352,359,450,350,0,3084,2202,2324,0,167,589,0,1277,2547,4615,2551,0,110,573,531,0,0,0,0,91,79,76,64,776,42,1548,770,941,0,0,31,0,109,358,782,1066,1325,0,119,190,417,45,0,241,171,448,621,611,1495,940,0,4388,3362,2083,66,215,105,287,683,1310,2913,4145,2799,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
116ef48e860fda3b8bb0edc061981783,0,0,0,0,0,0,0,0,44,0,0,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,232,5591,8717,10292,1349,3761,4730,6702,6464,8116,8071,4377,11519,26,128,149,302,166,95,0,0,0,0,0,75,362,0,0,21,0,0,17,37,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,41,140,580,5232,5445,823,1163,3428,3758,6952,7920,9924,8834,9838,22,388,495,1367,101,142,232,0,415,575,699,1384,0,30,0,0,0,39,0,0,0,91,0,0,0,0,0,0,26,0,0,0,0,53,0,0,0,0,0,189,497,1443,61,21,384,173,708,756,634,1787,2395,23,262,291,257,35,48,26,47,87,66,104,141,398,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,pasteurianum
daa604dba1ff2f13fc2b961774ff9964,12,2173,2614,3231,42,52,39,157,302,452,434,865,9092,0,74,113,103,0,0,0,0,0,0,24,70,286,0,117,275,378,35,46,41,62,124,137,82,115,331,10,2396,2636,4450,224,169,13,366,72,51,29,815,4202,0,576,141,100,0,0,14,14,65,14,45,245,128,8,7978,4863,0,0,29,182,648,1864,2591,4600,8195,8483,0,55,648,657,50,26,199,204,188,208,244,396,537,0,1656,1431,3162,47,65,120,0,287,421,896,2363,0,42,134,115,0,16,0,0,62,48,10,24,324,31,2213,1268,5431,0,10,22,40,66,545,1377,1651,7174,0,0,17,37,30,8,10,11,0,17,21,63,72,0,4416,4000,2551,0,123,58,283,441,490,738,1168,4278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,NA
e94b3ba482a39b82e72f18a68045e779,0,673,552,631,0,0,0,34,59,199,138,270,620,0,187,286,160,0,0,0,0,0,0,51,71,233,0,117,96,127,21,0,46,107,55,119,93,169,133,0,5657,4860,4146,294,263,0,1214,295,332,235,3981,4331,0,53,0,0,0,0,0,0,0,0,0,43,21,0,344,94,0,0,0,22,161,349,549,758,588,364,0,16,107,63,0,45,0,53,147,81,90,124,96,0,11743,8809,9338,365,302,1912,0,5397,9935,16241,8412,0,0,50,51,0,0,0,0,0,0,0,0,68,0,668,569,1015,0,0,0,18,57,313,685,716,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2921,2297,1489,67,138,46,157,382,714,1629,2381,1701,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
94b1131d5d5999abf2d7ee015324e00b,20,4655,5306,5484,44,52,54,309,703,1016,775,1111,5394,0,1179,2296,2045,38,0,0,0,0,36,370,469,2128,0,0,0,0,0,0,0,60,0,0,0,0,0,19,37,0,0,0,0,33,0,0,18,0,17,21,0,736,156,233,0,0,61,253,307,0,932,3023,652,0,3381,4788,0,61,0,69,441,885,924,1278,1723,3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,7,30,20,0,0,793,6313,4733,0,0,0,236,483,468,153,351,6751,0,4472,4271,5979,0,0,119,136,287,1562,3260,3554,6270,0,0,0,30,0,0,0,0,0,20,40,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA
3c6fe40ee8a9b709ff1614e5f286216b,296,3695,3202,2714,3131,140,224,484,730,1022,913,1408,2939,124,1254,1878,1343,2003,503,313,135,115,77,575,724,1759,443,52,69,50,839,609,1042,821,584,546,243,108,78,215,30,0,49,327,411,2162,323,487,31,136,52,34,326,230,530,1554,508,266,318,202,188,515,314,96,581,657,1114,1263,159,519,425,231,1196,369,315,317,361,793,0,0,0,0,0,0,19,0,0,0,0,24,34,769,119,86,92,950,456,1148,0,329,165,145,30,141,1057,4161,4756,286,796,543,627,2314,1004,227,3283,5311,440,2761,2363,2155,284,1718,212,512,945,1224,2385,1696,2739,56,0,60,385,407,17,477,133,274,351,554,124,0,42,0,22,17,313,243,60,153,59,90,99,96,0,Bacteria,Acidobacteria,TM1,NA,NA,NA,NA
6a84f2ded1fe3a9da22daa9951d7ab79,52,5806,6909,6582,298,49,89,322,583,1089,875,1506,4597,56,920,1781,1262,539,156,108,0,34,33,334,347,1069,76,70,0,0,149,249,37,289,248,149,0,39,36,53,25,0,0,151,341,582,266,305,0,202,0,0,145,119,429,1076,186,0,126,76,84,138,123,81,367,0,4842,6165,135,174,0,138,563,985,996,1012,1281,3289,5,0,0,28,0,0,0,0,0,0,0,0,0,136,0,35,52,44,92,124,0,0,81,32,35,46,833,5154,3797,64,63,270,224,775,621,147,947,4245,118,1985,2056,2105,45,282,113,100,312,947,1423,1380,2193,0,11,0,330,90,8,108,34,64,48,139,0,0,5,0,25,30,28,110,29,0,50,0,34,48,0,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,NA,NA
52b48981edf3b70482ea60e55a6fb7ad,0,2137,2149,2329,69,82,80,153,331,812,540,667,2382,0,197,397,346,41,0,0,0,0,0,88,145,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,112,0,0,0,0,42,0,28,0,101,82,489,238,91,0,0,0,57,121,109,134,319,157,0,3566,1387,0,49,109,520,2412,4932,7251,16236,13371,4815,0,0,44,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,53,0,0,0,0,0,0,238,910,996,39,316,88,0,111,308,26,91,1351,0,2266,2329,3126,0,0,0,98,263,1068,1807,2104,3046,0,0,0,0,0,0,51,0,0,0,0,0,0,0,112,88,0,37,0,0,0,0,0,0,79,79,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,NA
