Row.names,VIP,Kingdom,Phylum,Class,Order,Family,Genus,Species
006667ea8bc89d6631a4019840f0e341,1.8374451934379112,Bacteria,WPS-2,NA,NA,NA,NA,NA
007d8950febd09781199ef39ad9b4438,1.2957093931766526,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,NA,NA,NA
007def3ce2f5c06bfc8a11059f095766,1.0953748576620823,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,NA
008acc8ae00339d6b29ba44dbda5fe48,1.0299870289103676,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,NA,NA
00f90e979ca6ebe670d212ff1e1a0d90,1.5491195341338027,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,NA,NA
00ff0650a03ce436b6b7c4d7fb5983b5,1.0999590023877726,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,NA
018be79a514c3f2049576013ac72ff89,1.335533810005444,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,NA
02033bfba68598a7ce678a93ba6e652c,1.1684479960782217,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
028b600824147bf586e8b8090bc621ac,1.308755315706234,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,NA,NA
02fc268a5d2eb43071b4814c98dd78f1,1.3193351239691553,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Sodalis,NA
02ff5099ca96740c095db3e2fa23347f,1.063336540206849,Bacteria,Elusimicrobia,Endomicrobia,NA,NA,NA,NA
03e463f6e83e3a78cb5f7ed72ebcd3d7,1.539307984437295,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
03e9141d2515c9466598d2507be7da2a,1.013146213051939,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,NA,NA
0405ca18d418a9a7ba06450669c2ce7c,1.2526451502949274,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,NA,NA
044e5ca5a9dd94775b534075544c7970,1.0670603256129565,Bacteria,TM7,TM7-1,NA,NA,NA,NA
047725d483739bde1eb5cada9d7a6d21,1.2552459263252131,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,NA,NA
049e967a15917a63e02483ce0ef1660b,1.0263459984381376,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,NA,NA,NA
05045d1b0101db9e772ed06faf1f49fc,1.222067520179008,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Chthoniobacter,NA
0610b86fb42195ab54ead6ccd38cfd70,1.0127728852908284,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,NA
068e442844667665666369bd28ffa1d6,1.1189925485322096,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,NA,NA
072a5a6632985217bea1ffe4b9f746d4,1.0306097370514116,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,NA
0777a9a208ddb29664e9569999e9705a,1.0349644508324949,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
08628b11056df1c7cabb98efdf2dd851,1.2216692070986128,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
087eeec6d02c4062cdddfce338c2ab87,1.0982329247118714,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,geniculata
08b586a643f9aa5bd581dab136afca39,1.1260728457882052,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
08b9c97b44737c7335d14818a4329c2c,1.1807870610810434,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin515,NA,NA
08e29a5f297b2bc9d816321e4fb1addc,1.6790649763140386,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
09d286c97ec4026eb886a39c1fd65981,1.1683711850154495,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,NA
09e8e42bc549f42bb8434a8cb413bd6d,1.0451586727552382,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
0af15f8ab7aace10be3f1ec823865f4d,1.1461054195218845,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
0b4b8cadbe7ada4907a631b7f7e21d9a,1.0184014217193724,Archaea,[Parvarchaeota],[Micrarchaea],[Micrarchaeles],NA,NA,NA
0bef61277af7d2002c192d7130ca6c32,1.2052447609879546,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,rectus
0bef61dc0ab403a9b4093692dfb4445d,1.2407795915950113,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
0c20096be542aa654b12174cbb339ecb,1.1340039790266758,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
0c2d6ab2b20c0e45ea59066a27a865ce,1.1433143605503395,Bacteria,Acidobacteria,DA052,Ellin6513,NA,NA,NA
0c7b7e87aec8da0ab24666acccdf136e,1.032484534882557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
0d854f88d357c46e5f2db3cf7463eb1e,1.2523387601694436,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
0dc01db9723f1b1c5103179e369b18e5,1.2111094296370226,Bacteria,Acidobacteria,BPC102,MVS-40,NA,NA,NA
0e4c3fee8fe8c7e18548d95d06935416,1.1417431541379075,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA
0e6247b802db1ebb11a889d5694b4f7e,1.5237100014808764,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,NA,NA
0f3398c329e8df85c691951e6da2531f,2.364323212230575,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
1070b72c2c257af44b6575ecb1303a53,1.4971205543118715,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
107da9b28d9e3741413df83893e8670d,1.4176826604921866,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
110d9c1281797f75bde0a76f06d5d1b6,1.403742161519084,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA
113590377676a82eed747bb7a37fe458,1.6427481310599015,Bacteria,Acidobacteria,Solibacteres,Solibacterales,NA,NA,NA
1169c43f485005d882cf005b42dc6653,1.3448945041768117,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
11ea437d6a171eb90b4e1dcada59abc7,1.4282735471758792,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA
1213942ed8e45bee345e108404e5ef5b,1.2786911554650706,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Anaerococcus,NA
126b3f02ff5edfb3837b3fe8f8231875,2.285253706308045,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
12c4188ef116d2fa89704e461dcab7a7,1.9978714050966484,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovastum,atsumiense
13a7980db3b50942fff461ad11196a33,1.7110259040630333,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,NA
13c039c80f9575155e96b08e729bbf55,1.1439783281036637,Archaea,Crenarchaeota,MCG,pGrfC26,NA,NA,NA
13d8375c82bf5f4882314a52ca4d83ae,2.121842955827308,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,NA
1468453a55dc75637bafa114077e0767,1.1965236053451596,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Polynucleobacter,NA
15e08a6d126f7c53b453d4d2c4c32b30,1.1967035168854872,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,NA
160d311bf3eb577c4f483e7f1e9f8cff,1.1938567517521141,Bacteria,WPS-2,NA,NA,NA,NA,NA
17858f3d33419e79d09b91f559de3ae5,1.6873259984410718,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
182ac1ebf3243ccab13ff244b557bad6,1.670082706352075,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,NA
1868158a196d9969025c6bbd09a6a75f,1.1714953931499692,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,NA,NA
1914e4ce27b2a5d7a18cd9be77fa7cdb,1.952809091549488,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,NA
19591db24f33a6c0d3e6a9d5cdcf3752,1.0350681442667489,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
19767496427612c3be7e6a33b1763545,1.289257629898626,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,NA,NA
1a16dc2af42a56ecabd165ec6814eb72,1.4594332644781485,Bacteria,Acidobacteria,Solibacteres,JH-WHS99,NA,NA,NA
1a3d1ec19007f8de689bd443e5f9894b,1.1878764320638426,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
1b58d300c05cb9face2888f3260127b6,1.11943925184971,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA
1b616c4ca6746ff175dac70301439630,1.9423229612731219,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA,NA
1b6955b70830acdfa10dc907e30574bf,1.4510344968832503,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,aggregans
1b778e1ef24144780698f08cce955032,1.1906070742083503,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA,NA
1ba9f99d1b60e4c48da3eb5c2e34f0e0,1.0195887299921467,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,NA,NA,NA
1bae30624527997afa40c3298fdfbea5,1.4336878316986192,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
1c07b757328b482815b2b3fd50a6083c,1.026345998438138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
1d5e1f0ab86a8af92e5a1a9004da290b,2.2092946202663413,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,NA,NA
1e48b3a4950f508f2e649e0535f69aea,1.416509854429823,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
1f03a804005544414663bfdaadd44a2e,1.2654566967749001,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
1facea38b64c32fbb1a45fb38697f21b,1.7220036041339062,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,NA,NA
208f3b1085932482d3b0cc2727e391bd,1.33866995785002,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophorhabdaceae,NA,NA
20c5956962218540c7a6b0a4c6407989,1.2258702541561046,Bacteria,Armatimonadetes,SJA-176,GAB-B06,NA,NA,NA
20ec26c9c004119a231f8db6ace7b361,1.1448248565534527,Bacteria,OD1,SM2F11,NA,NA,NA,NA
236342d74184a5ce3240827b9e96933e,2.0677673432419437,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,NA,NA
24329f5ed6d137c7532c2ed7770f1866,2.8308597106005813,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,NA
245dd3a7e895b5f4490efeff2dacd261,1.4994046046336487,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
2498c096052abe0b360ce3f04f059fbd,1.3684450081727197,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,psychrerythraea
2510b077ac899a4abb5d3f06a5f730f7,1.5341671481861625,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,NA,NA
2609c65d014a2081aa825556d1a0114b,1.1251945895415787,Bacteria,OP11,OP11-3,NA,NA,NA,NA
27077fafe82dac2bf224e25aabc1f57b,1.213318718618783,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,NA
278f3e8ee5a9fd77a7070b66383e6d07,1.3731140307512781,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
27942b0504c98875d1de1ce9a79a94de,1.0265984588793622,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
2863cd9fe8d4d868fd348306c95e6fc8,1.3429214715928588,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,NA
286f03b88ab3154edf2156606369f41a,2.111209380441787,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,NA
28a9cf5729d16224367cbadad3d3db04,1.0184014217193724,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,[Thermodesulfovibrionaceae],GOUTA19,NA
28adb166dc8ecd4ebd0461f0ae13a86f,1.4173114062609726,Bacteria,Proteobacteria,Deltaproteobacteria,GW-28,NA,NA,NA
28cfb0aa7f268ce3b6a1cff6396fb793,1.1797110965103583,Bacteria,OP11,OP11-3,NA,NA,NA,NA
290973631bd8d66aaea11c632e5da942,1.2529578318946573,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,NA
298bc712ffa0b5df2ceccf665f884f8d,1.0780401356982496,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,NA
29e23ade1e6059e133df1d9021b71828,2.4671570772006417,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
29e603d56acfbd7d2c1fe238219a6a14,1.410199547717597,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,NA,NA
2a1e22705935639eb714e48d7c351de9,1.0059155977375016,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,veronii
2a2110b5cf562b89ad671c2a2e3a7611,1.0299870289103676,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
2acd814a4f10143eb1566b39f87b50c1,1.3438583479791208,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
2b0d0175895a7d2016278a071aa2c59c,1.8087367754328503,Bacteria,Proteobacteria,Betaproteobacteria,NA,NA,NA,NA
2b72eb8ec76f655819791ca49a8fcfbd,1.0515660278123011,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,NA,NA,NA
2b89097f7abe232b08fd77307f1c6ff7,2.9659248500270987,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
2bb1bc678965870cd539d0eafe0b6339,1.3771988042011385,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,NA,NA
2bd06a9e885cdb61f58e1411b4a7c509,1.0674485562072926,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,butyricum
2c18527c9d43669445ebc507b49eae56,1.0268858023914709,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
2c7cbc70d22101673bba4fa2fe12a168,1.5915362605527061,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,NA
