FeatureID,comp_abundance,VIP
"1,4-D-xylobiose",Surface_abundant,1.248300519984211
1-Eicosanol NIST,Deep_abundant,1.0581609234999463
1-Hexacosanol NIST,Deep_abundant,1.3650451312834835
1-Monopalmitin NIST,Deep_abundant,1.0513094330513217
1-Tetracosanol NIST,Deep_abundant,1.181809841919016
2-hydroxypyridine,Deep_abundant,1.4531403223265633
2-methyl-3-hydroxybutyric acid,Deep_abundant,1.4239926415497661
3-3-hydroxyphenylpropionic acid,Surface_abundant,1.30508459695811
3-4-hydroxyphenylpropionic acid,Surface_abundant,1.240623357635879
3-hydroxypyridine,Deep_abundant,1.1777547352132913
4-guanidinobutyric acid,Surface_abundant,1.5248348527936264
4-hydroxycyclohexanecarboxylic acid cis,Surface_abundant,1.1533624253178447
4-hydroxyphenylacetic acid,Deep_abundant,1.0984162485194249
5-aminovaleric acid 1,Surface_abundant,1.0254554802132247
6-hydroxy caproic acid,Surface_abundant,1.081624984888348
arachidic acid,Deep_abundant,1.448737976299472
Azelaic acid NIST,Surface_abundant,1.4685860196808158
behenic acid,Deep_abundant,1.3608818372816698
beta-Alanine NIST,Deep_abundant,1.2250646190910295
beta-Sitosterol NIST,Deep_abundant,1.1581036036811225
catechol,Deep_abundant,1.2505350011974634
cycloleucine,Surface_abundant,1.4307813090497816
D-gluconic acid,Surface_abundant,1.0128219426143843
DL-3-aminoisobutyric acid,Surface_abundant,1.2078250592939397
D-lyxose,Deep_abundant,1.0152460555491096
D-lyxosylamine NIST,Surface_abundant,1.52409701477868
Docosanol NIST,Deep_abundant,1.2729073958191748
Dodecanedioic acid NIST,Surface_abundant,1.3759075676571877
D-ribose,Surface_abundant,1.3081074478838302
fumaric acid,Deep_abundant,1.4711827341797845
gluconolactone,Surface_abundant,1.0471876930026414
glycerol,Surface_abundant,1.0772859136409074
glycerol 3-phosphate,Deep_abundant,1.427834000183194
Heptanoic acid NIST,Deep_abundant,1.0269744789737594
Hexacosanoic acid NIST,Deep_abundant,1.2545689422488342
Hexanoic acid NIST,Surface_abundant,1.1706606749237443
Lignoceric acid NIST,Deep_abundant,1.3796202300189135
L-mimosine,Deep_abundant,1.3693196039408544
myo-inositol,Surface_abundant,1.2637262715264936
n-Butylamine NIST,Surface_abundant,1.3810800369278857
Octacosanoic acid NIST,Deep_abundant,1.255845901657222
Octadecanenitrile NIST,Deep_abundant,1.3172078017968891
orcinol,Surface_abundant,1.164826986068076
palmitic acid,Deep_abundant,1.3725379672572189
Pentacosanoic acid NIST,Deep_abundant,1.0130210440551055
Phenylacetic acid NIST,Surface_abundant,1.21867223968084
phenylethylamine,Surface_abundant,1.4660290569412098
porphine,Deep_abundant,1.443282103237388
putrescine,Surface_abundant,1.5086614344239222
sebasic acid,Surface_abundant,1.444731500805887
Serratene NIST,Deep_abundant,1.448487244585488
stearic acid,Deep_abundant,1.4220737533788752
Tricarballylic acid NIST,Surface_abundant,1.1352655264573546
Tricosanoic acid NIST,Deep_abundant,1.2981286669076715
FT003,Surface_abundant,1.2816673065303028
FT014,Deep_abundant,1.0401446784340735
FT018,Surface_abundant,1.1628491963945804
FT026,Deep_abundant,1.4599765057195135
FT028,Surface_abundant,1.2281701260348856
FT034,Deep_abundant,1.315455669234747
FT040,Deep_abundant,1.2871941048816575
FT041,Deep_abundant,1.4557028538224095
FT048,Deep_abundant,1.5126340522407207
FT051,Deep_abundant,1.601790347204399
FT054,Surface_abundant,1.1400733538324894
FT064,Surface_abundant,1.2284325182634095
FT066,Deep_abundant,1.3350588954195235
FT070,Deep_abundant,1.5786623978960215
FT075,Deep_abundant,1.4069630667516129
FT076,Deep_abundant,1.199682745109385
FT078,Deep_abundant,1.6093371838045758
FT081,Surface_abundant,1.1073982176269692
FT089,Deep_abundant,1.2264038075250117
FT091,Surface_abundant,1.136773824349376
FT104,Deep_abundant,1.273495349616778
FT108,Surface_abundant,1.296510754709646
FT112,Deep_abundant,1.6039499620971898
FT115,Surface_abundant,1.1701457283038275
FT116,Surface_abundant,1.2485213202758978
FT117,Deep_abundant,1.1977007830978228
FT119,Deep_abundant,1.0101891745542353
FT121,Surface_abundant,1.3840169326459288
FT122,Surface_abundant,1.1946981864201192
FT128,Surface_abundant,1.5743519016313694
FT141,Deep_abundant,1.6394112171079962
FT142,Surface_abundant,1.5010439977282908
FT145,Surface_abundant,1.180432926722649
FT147,Deep_abundant,1.531086951264327
FT155,Surface_abundant,1.193879023417403
FT157,Deep_abundant,1.0127054036120648
FT160,Surface_abundant,1.1372304190249818
FT161,Deep_abundant,1.3862075087732522
FT162,Surface_abundant,1.068454028466792
FT163,Surface_abundant,1.0566840078455528
FT165,Deep_abundant,1.2796095844351685
FT168,Deep_abundant,1.4564078274350465
FT173,Deep_abundant,1.1656547469254994
FT174,Surface_abundant,1.3735270884202546
FT182,Deep_abundant,1.6489774576021086
FT189,Deep_abundant,1.4978228988550364
FT195,Deep_abundant,1.3718107480375212
FT197,Deep_abundant,1.5455616688464011
FT201,Deep_abundant,1.6453481108513148
FT202,Deep_abundant,1.3620809558130802
FT205,Deep_abundant,1.125413446514671
FT207,Deep_abundant,1.6475683926853444
FT217,Deep_abundant,1.6371465811572685
FT224,Deep_abundant,1.5513319061133106
FT229,Surface_abundant,1.3441053763348432
FT230,Deep_abundant,1.6477779180079948
FT231,Surface_abundant,1.2092571703879822
FT232,Deep_abundant,1.1827689351221333
FT233,Deep_abundant,1.4887848094055338
FT234,Deep_abundant,1.244659772598955
FT241,Deep_abundant,1.2805464744733717
FT245,Surface_abundant,1.0504266108682294
