query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
1-Eicosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
1-Monopalmitin NIST,NA,NA,NA,NA,NA,NA,NA,NA
1-Tetracosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
4-2-hydroxyethylphenol  tyrosol,NA,NA,NA,NA,NA,NA,NA,NA
4-hydroxycyclohexanecarboxylic acid cis,NA,NA,NA,NA,NA,NA,NA,NA
4-hydroxyphenylacetic acid,cpd:C00642,4-Hydroxyphenylacetate;4-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Degradation of flavonoids;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,Dietary phytochemicals [br08012.html]; Flavonoids;  C00642,1.2.1.5;1.2.1.29;1.2.1.39;1.2.1.53;1.2.3.13;1.14.13.18;1.14.14.9;4.1.1.83;6.2.1.-,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790;R07312 R13086
beta-Sitosterol NIST,NA,NA,NA,NA,NA,NA,NA,NA
carbonate ion NIST,NA,NA,NA,NA,NA,NA,NA,NA
catechol,cpd:C00090,"Catechol;1,2-Benzenediol;o-Benzenediol;1,2-Dihydroxybenzene;Brenzcatechin;Pyrocatechol",C6H6O2,Chlorocyclohexane and chlorobenzene degradation;Benzoate degradation;Fluorobenzoate degradation;Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Naphthalene degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol;Benzene degradation, benzene => catechol;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol;Catechol ortho-cleavage, catechol => 3-oxoadipate;Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA;Anthranilate degradation, anthranilate => catechol",NA,1.1.3.14;1.3.1.19;1.3.1.20;1.3.1.25;1.3.1.-;1.10.3.1;1.13.11.1;1.13.11.2;1.14.12.1;1.14.12.13;1.14.12.23;1.14.13.1;1.14.13.7;1.14.13.31;1.14.13.244;1.14.14.20;1.14.14.-;1.14.18.1;1.14.-.-;2.1.1.6;3.7.1.-;4.1.1.46;4.1.1.63,R00058 R00080 R00812 R00813 R00814 R00815 R00816 R00817;R00818 R00821 R00822 R00823 R00825 R00827 R00828 R01033;R05361 R07700 R07706 R07803 R08106 R08122 R10043 R11653;R12301
catechol,cpd:C01014,3-Isopropylcatechol,C9H12O2,NA,NA,NA,NA,NA
catechol,cpd:C01502,o-Methoxyphenol;Guaiacol;Catechol mono methyl ether;2-Methoxyphenol,C7H8O2,Aminobenzoate degradation;Microbial metabolism in diverse environments,NA,Therapeutic category of drugs in Japan [BR:br08301(D00117)]; 2  Agents affecting individual organs;  27  Dental preparations;   273  Analgesics and sedatives;    2730  Analgesics and sedatives;     D00117  Guaiacol (JAN);Risk category of Japanese OTC drugs [BR:br08312(D00117)]; Second-class OTC drugs;  Inorganic and organic chemicals;   Guaiacol;    D00117  Guaiacol (JAN),1.11.1.14;1.11.1.16;1.14.14.-;2.1.1.6,R00827 R11501 R11503 R12301
catechol,cpd:C02012,Catecholamine,C8H9NO2R2,NA,NA,NA,NA,NA
catechol,cpd:C02235,4-Nitrocatechol,C6H5NO4,Aminobenzoate degradation;Microbial metabolism in diverse environments,NA,NA,1.14.13.29;1.14.-.-,R03023 R05265
catechol,cpd:C02375,4-Chlorocatechol,C6H5ClO2,Chlorocyclohexane and chlorobenzene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,1.13.11.1;1.13.11.2;1.14.13.20;1.14.-.-,R04258 R05406 R05441 R07793
catechol,cpd:C02526,"Biphenyl-2,3-diol;2,3-Dihydroxybiphenyl;3-Phenylcatechol",C12H10O2,Dioxin degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate",NA,1.3.1.56;1.13.11.39;1.14.13.44,R03462 R03964 R05239
catechol,cpd:C02923,"2,3-Dihydroxytoluene;3-Methylcatechol",C7H8O2,Xylene degradation;Toluene degradation;Naphthalene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",NA,1.3.1.19;1.3.1.68;1.3.1.-;1.13.11.2;1.13.11.-;1.14.13.1;1.14.13.7;1.14.13.243,R03566 R03608 R04088 R04089 R05309 R05314 R06915
catechol,cpd:C02933,"3,5-Dichlorocatechol",C6H4Cl2O2,Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,1.13.11.-;1.14.13.20,R03997 R05407
catechol,cpd:C03591,5-Chloro-3-methylcatechol,C7H7ClO2,NA,NA,NA,NA,NA
catechol,cpd:C03929,3-tert-Butyl-5-methylcatechol,C11H16O2,NA,NA,NA,NA,NA
