KEGG_pathway,deep_Control abundant_initial,deep_Control abundant_final,deep_Glucose abundant_final,surface_Control abundant_final,surface_Control abundant_initial,surface_Glucose abundant_final,surface_Glucose abundant_initial,deep_Glucose abundant_initial
" Including: Crocin biosynthesis, Ginsenoside biosynthesis, Saponin adjuvant biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis",1,0,0,0,0,0,0,0
" Including: Ditryptophenaline biosynthesis, Fumiquinazoline D biosynthesis, Paerucumarin biosynthesis, Staphyloferrin B biosynthesis, Cyclooctatin biosynthesis, Lovastatin biosynthesis, Grixazone biosynthesis, Staphyloferrin A biosynthesis, Ethynylserine biosynthesis, Aerobactin biosynthesis",1,0,0,0,0,0,0,0
" Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Fumagillin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis",1,0,0,0,0,0,0,0
2-Oxocarboxylic acid metabolism,9,3,4,1,4,4,1,0
ABC transporters,10,7,4,3,5,5,1,2
AGE-RAGE signaling pathway in diabetic complications,1,0,1,0,0,1,0,0
AMPK signaling pathway,2,0,2,0,0,1,0,0
"Alanine, aspartate and glutamate metabolism",4,1,2,0,0,2,0,0
Alcoholic liver disease,0,1,1,1,0,0,0,2
Alcoholism,2,2,1,1,1,1,0,1
Amino sugar and nucleotide sugar metabolism,1,0,1,0,0,1,0,0
Aminoacyl-tRNA biosynthesis,8,3,3,2,3,3,1,0
Aminobenzoate degradation,2,0,3,1,1,1,1,1
Amphetamine addiction,2,1,1,0,1,1,0,0
Amyotrophic lateral sclerosis,1,1,0,0,0,1,0,0
Arginine and proline metabolism,3,4,1,0,1,2,0,2
Arginine biosynthesis,3,1,0,0,1,2,0,0
Ascorbate and aldarate metabolism,1,1,1,1,1,0,0,1
Bacterial chemotaxis,1,0,0,0,0,0,0,0
Benzoate degradation,3,0,3,1,1,1,1,1
Betalain biosynthesis,1,0,1,0,1,0,0,0
Bile secretion,2,0,2,0,1,1,0,0
Biofilm formation - Vibrio cholerae,1,0,1,0,0,1,0,0
Biosynthesis of alkaloids derived from histidine and purine,3,0,2,0,0,1,0,0
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",5,3,2,1,2,2,1,1
Biosynthesis of alkaloids derived from shikimate pathway,5,1,4,0,4,1,0,1
Biosynthesis of alkaloids derived from terpenoid and polyketide,2,0,1,0,0,0,0,0
Biosynthesis of amino acids,10,3,4,2,4,4,1,0
Biosynthesis of cofactors,8,2,2,1,2,1,0,0
Biosynthesis of enediyne antibiotics,1,0,1,0,1,0,0,0
Biosynthesis of nucleotide sugars,0,1,0,0,0,0,0,1
Biosynthesis of phenylpropanoids,2,0,2,0,1,0,0,0
Biosynthesis of plant hormones,3,0,2,0,1,0,0,0
Biosynthesis of plant secondary metabolites,12,4,6,2,6,4,1,1
Biosynthesis of secondary metabolites,15,6,11,3,7,6,1,5
Biosynthesis of terpenoids and steroids,2,0,3,0,2,0,0,0
