query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
1-Tetracosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
beta-Sitosterol NIST,C01753,beta-Sitosterol,NA,Steroid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Metabolic pathways;Biosynthesis of secondary metabolites,NA,NA,NA,NA
D-glucuronic acidM,NA,NA,NA,NA,NA,NA,NA,NA
Docosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
hydrocinnamic acid,C05629,3-Phenylpropionic acid,C9H10O2,Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",NA,1.1.1.110;1.1.1.237;1.4.1.20;1.4.3.2;1.4.5.1;1.13.11.27;2.1.1.281;2.3.3.-;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.21;2.6.1.28;2.6.1.57;2.6.1.58;2.6.1.64;2.6.1.70;2.6.1.-;4.1.1.43;4.1.1.-;4.2.1.51;4.2.1.91;5.3.2.1,R00688 R00689 R00692 R00694 R00695 R01370 R01371 R01372;R01373 R01374 R01375 R01376 R01377 R01378 R01582 R10431;R10499 R10500 R11068
L-ornithine,cpd:C00077,"L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate",C5H12N2O2,"Arginine biosynthesis;Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Efferocytosis","Proline biosynthesis, glutamate => proline;Ornithine biosynthesis, glutamate => ornithine;Urea cycle;Polyamine biosynthesis, arginine => ornithine => putrescine;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Cycloserine biosynthesis, arginine/serine => cycloserine;Arginine biosynthesis, ornithine => arginine;Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A;Proline metabolism",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00077  L-Ornithine,1.5.1.24;1.14.13.195;1.14.13.196;2.1.3.3;2.1.4.1;2.1.4.2;2.1.4.3;2.3.1.35;2.3.1.127;2.3.2.30;2.6.1.13;3.5.1.14;3.5.1.16;3.5.1.20;3.5.1.132;3.5.3.1;3.5.3.25;4.1.1.17;4.3.1.12;5.1.1.9;5.1.1.10;5.1.1.12,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801 R12506
L-tyrosine,cpd:C00082,L-Tyrosine;(S)-3-(p-Hydroxyphenyl)alanine;(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid;Tyrosine,C9H11NO3,"Ubiquinone and other terpenoid-quinone biosynthesis;Monobactam biosynthesis;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Cyanoamino acid metabolism;Methane metabolism;Thiamine metabolism;Phenylpropanoid biosynthesis;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of vancomycin group antibiotics;Biosynthesis of enediyne antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Dopaminergic synapse;Melanogenesis;Prolactin signaling pathway;Protein digestion and absorption;Parkinson disease;Cocaine addiction;Amphetamine addiction;Alcoholism;Central carbon metabolism in cancer","Tyrosine biosynthesis, chorismate => HPP => tyrosine;Monolignol biosynthesis, phenylalanine/tyrosine => monolignol;Tyrosine biosynthesis, chorismate => arogenate => tyrosine;Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline;Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine;Tyrosine degradation, tyrosine => homogentisate;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Cyanogenic glycoside biosynthesis, tyrosine => dhurrin;C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP;Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP;Puromycin biosynthesis, ATP => puromycin;Methanofuran biosynthesis;Betacyanin biosynthesis, L-tyrosine => amaranthin",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00082  Tyrosine (Tyr);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00022)]; Chemicals;  D00022  L-Tyrosine,1.2.1.101;1.3.1.43;1.3.1.78;1.3.1.79;1.4.1.20;1.4.3.2;1.10.3.1;1.11.1.8;1.11.2.6;1.14.14.36;1.14.16.1;1.14.16.2;1.14.18.1;1.14.-.-;1.21.1.1;2.1.1.304;2.5.1.122;2.5.1.147;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.58;2.6.1.103;4.1.1.25;4.1.1.28;4.1.1.108;4.1.99.2;4.1.99.19;4.1.99.24;4.3.1.23;4.3.1.25;5.4.3.6;6.1.1.1;6.3.2.24;6.3.2.25,R00031 R00728 R00729 R00730 R00731 R00732 R00733 R00734;R00735 R00736 R00737 R00739 R01795 R01815 R02078 R02918;R03539 R04730 R05671 R06626 R06751 R07211 R07212 R08825;R09254 R09521 R09830 R10059 R10246 R10671 R10964 R10968;R11366 R11917 R12150 R12161 R12235 R12540 R12541 R12611;R12759 R13031
L-valine,cpd:C00183,L-Valine;2-Amino-3-methylbutyric acid,C5H11NO2,"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Penicillin and cephalosporin biosynthesis;Cyanoamino acid metabolism;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin;Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00183  Valine (Val);Risk category of Japanese OTC drugs [BR:br08312(D00039)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Valine;    D00039  Valine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00039)]; Chemicals;  D00039  L-Valine,1.4.1.8;1.4.1.9;1.4.1.23;1.14.14.38;1.14.14.39;2.6.1.6;2.6.1.32;2.6.1.42;2.6.1.66;4.1.1.14;6.1.1.9;6.3.2.26;6.3.2.47,R01212 R01214 R01215 R01434 R01437 R02200 R03665 R04870;R08663 R10031 R10941 R10942
Serratene NIST,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxyphenylacetate,cpd:C05593,3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.63;1.14.14.9,R02515 R02517 R03299 R06791
