query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
4-hydroxycyclohexanecarboxylic acid cis,C04404,trans-4-Hydroxycyclohexanecarboxylic acid,NA,NA,NA,NA,NA,NA
carbonate ion NIST,NA,carbonate,NA,NA,NA,NA,NA,NA
catechol,cpd:C00090,"Catechol;1,2-Benzenediol;o-Benzenediol;1,2-Dihydroxybenzene;Brenzcatechin;Pyrocatechol",C6H6O2,Chlorocyclohexane and chlorobenzene degradation;Benzoate degradation;Fluorobenzoate degradation;Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Naphthalene degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol;Benzene degradation, benzene => catechol;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol;Catechol ortho-cleavage, catechol => 3-oxoadipate;Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA;Anthranilate degradation, anthranilate => catechol",NA,1.1.3.14;1.3.1.19;1.3.1.20;1.3.1.25;1.3.1.-;1.10.3.1;1.13.11.1;1.13.11.2;1.14.12.1;1.14.12.13;1.14.12.23;1.14.13.1;1.14.13.7;1.14.13.31;1.14.13.244;1.14.14.20;1.14.14.-;1.14.18.1;1.14.-.-;2.1.1.6;3.7.1.-;4.1.1.46;4.1.1.63,R00058 R00080 R00812 R00813 R00814 R00815 R00816 R00817;R00818 R00821 R00822 R00823 R00825 R00827 R00828 R01033;R05361 R07700 R07706 R07803 R08106 R08122 R10043 R11653;R12301
D-galactaric acid,cpd:C00879,D-Galactarate;D-Mucic acid;D-Galactaric acid;Galactaric acid;Galactarate;Mucic acid,C6H10O8,Ascorbate and aldarate metabolism;Metabolic pathways,NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0117 Dicarboxylic acids;    C00879  Galactaric acid,2.3.1.130;4.2.1.42;4.2.1.158,R01981 R03727 R05608 R11077
D-lyxosylamine NIST,NA,NA,NA,NA,NA,NA,NA,NA
fructose,cpd:C05003,D-Fructose;D-arabino-Hex-2-ulopyranose,C6H12O6,NA,NA,NA,NA,NA
Glyceryl-glycoside NIST,NA,NA,NA,NA,NA,NA,NA,NA
L-lysine,cpd:C00047,"L-Lysine;Lysine acid;2,6-Diaminohexanoic acid",C6H14N2O2,"Lysine biosynthesis;Lysine degradation;D-Amino acid metabolism;Biotin metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine;Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine;Lysine degradation, lysine => saccharopine => acetoacetyl-CoA;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Ethynylserine biosynthesis, lysine => ethynylserine;Aerobactin biosynthesis, lysine => aerobactin;Lysine degradation, bacteria, L-lysine => succinate;Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA;Lysine degradation, bacteria, L-lysine => D-lysine => succinate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00047  Lysine (Lys);Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D02304)]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05X I.V. SOLUTION ADDITIVES;    B05XB Amino acids;     B05XB03 Lysine;      D02304  Lysine (USAN/INN);Risk category of Japanese OTC drugs [BR:br08312(D02304)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Lysine;    D02304  Lysine (USAN/INN),1.4.1.15;1.4.1.18;1.4.3.14;1.4.3.20;1.5.1.7;1.5.1.8;1.5.1.16;1.5.3.4;1.13.12.2;1.14.13.59;1.14.20.-;2.1.3.8;2.1.4.3;2.3.1.32;2.3.1.306;2.6.1.36;2.6.1.71;2.6.1.105;3.4.13.4;3.4.14.13;3.5.1.12;3.5.1.17;3.5.1.130;3.5.2.11;3.5.-.-;4.1.1.18;4.1.1.20;4.3.1.28;4.3.2.8;5.1.1.5;5.1.1.10;5.4.3.2;5.4.99.58;6.1.1.6;6.3.2.7;6.3.2.11;6.3.2.20;6.3.2.59;6.3.4.19,R00445 R00446 R00447 R00448 R00449 R00451 R00452 R00453;R00454 R00457 R00458 R00459 R00460 R00461 R00462 R00463;R00545 R00612 R00715 R00716 R00910 R00911 R01077 R01396;R01620 R02786 R03095 R03658 R07598 R07646 R08125 R09597;R09779 R10010 R10011 R10054 R10277 R10699 R11190 R11862;R12407 R12506
L-ornithine,cpd:C00077,"L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate",C5H12N2O2,"Arginine biosynthesis;Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Efferocytosis","Proline biosynthesis, glutamate => proline;Ornithine biosynthesis, glutamate => ornithine;Urea cycle;Polyamine biosynthesis, arginine => ornithine => putrescine;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Cycloserine biosynthesis, arginine/serine => cycloserine;Arginine biosynthesis, ornithine => arginine;Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A;Proline metabolism",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00077  L-Ornithine,1.5.1.24;1.14.13.195;1.14.13.196;2.1.3.3;2.1.4.1;2.1.4.2;2.1.4.3;2.3.1.35;2.3.1.127;2.3.2.30;2.6.1.13;3.5.1.14;3.5.1.16;3.5.1.20;3.5.1.132;3.5.3.1;3.5.3.25;4.1.1.17;4.3.1.12;5.1.1.9;5.1.1.10;5.1.1.12,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801 R12506
3-Hydroxyphenylacetate,cpd:C05593,3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.63;1.14.14.9,R02515 R02517 R03299 R06791
