query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
1-Eicosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
1-Monopalmitin NIST,NA,NA,NA,NA,NA,NA,NA,NA
1-Tetracosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
4-2-hydroxyethylphenol  tyrosol,C06044,Tyrosol,NA,Tyrosine metabolism;Metabolic pathways,NA,NA,NA,NA
4-hydroxycyclohexanecarboxylic acid cis,C04404,trans-4-Hydroxycyclohexanecarboxylic acid,NA,NA,NA,NA,NA,NA
4-hydroxyphenylacetic acid,cpd:C00642,4-Hydroxyphenylacetate;4-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Degradation of flavonoids;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,Dietary phytochemicals [br08012.html]; Flavonoids;  C00642,1.2.1.5;1.2.1.29;1.2.1.39;1.2.1.53;1.2.3.13;1.14.13.18;1.14.14.9;4.1.1.83;6.2.1.-,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790;R07312 R13086
beta-Sitosterol NIST,C01753,beta-Sitosterol,NA,Steroid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Metabolic pathways;Biosynthesis of secondary metabolites,NA,NA,NA,NA
carbonate ion NIST,NA,carbonate,NA,NA,NA,NA,NA,NA
catechol,cpd:C00090,"Catechol;1,2-Benzenediol;o-Benzenediol;1,2-Dihydroxybenzene;Brenzcatechin;Pyrocatechol",C6H6O2,Chlorocyclohexane and chlorobenzene degradation;Benzoate degradation;Fluorobenzoate degradation;Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Naphthalene degradation;Aminobenzoate degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol;Benzene degradation, benzene => catechol;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol;Catechol ortho-cleavage, catechol => 3-oxoadipate;Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA;Anthranilate degradation, anthranilate => catechol",NA,1.1.3.14;1.3.1.19;1.3.1.20;1.3.1.25;1.3.1.-;1.10.3.1;1.13.11.1;1.13.11.2;1.14.12.1;1.14.12.13;1.14.12.23;1.14.13.1;1.14.13.7;1.14.13.31;1.14.13.244;1.14.14.20;1.14.14.-;1.14.18.1;1.14.-.-;2.1.1.6;3.7.1.-;4.1.1.46;4.1.1.63,R00058 R00080 R00812 R00813 R00814 R00815 R00816 R00817;R00818 R00821 R00822 R00823 R00825 R00827 R00828 R01033;R05361 R07700 R07706 R07803 R08106 R08122 R10043 R11653;R12301
cycloleucine,cpd:C03969,1-Aminocyclopentanecarboxylate;1-Aminocyclopentanecarboxylic acid;Cycloleucine,C6H11NO2,NA,NA,NA,NA,NA
D-galactaric acid,cpd:C00879,D-Galactarate;D-Mucic acid;D-Galactaric acid;Galactaric acid;Galactarate;Mucic acid,C6H10O8,Ascorbate and aldarate metabolism;Metabolic pathways,NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0117 Dicarboxylic acids;    C00879  Galactaric acid,2.3.1.130;4.2.1.42;4.2.1.158,R01981 R03727 R05608 R11077
D-glucuronic acidM,NA,NA,NA,NA,NA,NA,NA,NA
D-lyxosylamine NIST,NA,NA,NA,NA,NA,NA,NA,NA
Docosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
fructose,cpd:C05003,D-Fructose;D-arabino-Hex-2-ulopyranose,C6H12O6,NA,NA,NA,NA,NA
glycerol 3-phosphate,cpd:C03189,DL-Glycerol 1-phosphate;Glycerol 1-phosphate;Glycerol-3-phosphate;rac-Glycerol 1-phosphate;DL-Glyceryl 1-phosphate;DL-Glycerol 3-phosphate,C3H9O6P,NA,NA,NA,3.1.3.21;3.1.4.42,R02648 R08658
Glyceryl-glycoside NIST,NA,NA,NA,NA,NA,NA,NA,NA
Heptanoic acid NIST,C17714,Heptanoic acid,NA,NA,NA,NA,NA,NA
hydrocinnamic acid,C05629,3-Phenylpropionic acid,C9H10O2,Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",NA,1.1.1.110;1.1.1.237;1.4.1.20;1.4.3.2;1.4.5.1;1.13.11.27;2.1.1.281;2.3.3.-;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.21;2.6.1.28;2.6.1.57;2.6.1.58;2.6.1.64;2.6.1.70;2.6.1.-;4.1.1.43;4.1.1.-;4.2.1.51;4.2.1.91;5.3.2.1,R00688 R00689 R00692 R00694 R00695 R01370 R01371 R01372;R01373 R01374 R01375 R01376 R01377 R01378 R01582 R10431;R10499 R10500 R11068
